program_name,state,city,incentive_type,property_type,description,eligibility_criteria,incentive_amount,valid_until,updated_at,review_needed,program_links,extraction_source
Down Payment Assistance Program,FL,Hillsborough County,Finance Solutions,PRIMARY RESIDENCE,"Pinellas County Down Payment Assistance Program provides assistance for down payment and closing costs for eligible homebuyers in unincorporated Pinellas County and eligible service areas, in the form of an interest-free, deferred loan up to $75,000.","Income-qualified | Eligible projects: closing costs, down payment, home purchase | Household must meet income eligibility requirements. All household income of people 18 years and older who will reside in the property must be included. Liquid assets cannot exceed $50,000. Purchase price must be $394,000 or less. Home must be your primary residence. Home must be located in unincorporated Pinellas or a city in an eligible service area. Note: St. Petersburg, Clearwater and Largo have their own down payment assistance programs. Applicants must complete an 8-hour HUD-approved homeownership class and 1-hour one-on-one counseling prior to closing. A HUD Uniform Physical Condition Standard inspection is required. | Administered by: Pinellas County Community Development [needs review: expiry unknown]","Up to $75,000",Unknown,2026-05-11,Yes,https://pinellas.gov/downpayment,llm
Down Payment Assistance Program,FL,Hillsborough County,Grants,All,"Down Payment Assistance Program — listed as OPEN with a date reference of December 1, 2025.","Listed as OPEN as of December 1, 2025 (no additional eligibility details provided). | Administered by: Pinellas County Community Development Division [needs review: incentive_type unresolved; amount unspecified; expiry unknown; low confidence (0.60)]",See program page,Unknown,2026-05-11,Yes,https://pinellas.gov/community-development-notices/,llm
Home Repair Program,FL,Hillsborough County,Grants,All,Home Repair Program — listed as CLOSED.,Listed as CLOSED (no additional eligibility details provided). | Administered by: Pinellas County Community Development Division [needs review: incentive_type unresolved; amount unspecified; expiry unknown],See program page,Unknown,2026-05-11,Yes,https://pinellas.gov/community-development-notices/,llm
Hurricane Home Repair Program,FL,Hillsborough County,Grants,All,Hurricane Home Repair Program — listed as CLOSED.,Listed as CLOSED (no additional eligibility details provided). | Administered by: Pinellas County Community Development Division [needs review: incentive_type unresolved; amount unspecified; expiry unknown],See program page,Unknown,2026-05-11,Yes,https://pinellas.gov/community-development-notices/,llm
Emergency Solutions Grant-Rapid Unsheltered Housing (ESG-RUSH) and Emergency Solutions Grant Programs,FL,Hillsborough County,Grants,All,"Notice of Funding Availability for ESG-RUSH and ESG programs; accepting applications beginning December 8, 2025 for agencies serving those experiencing or at risk of homelessness.","Eligible projects: services for individuals and families experiencing or at risk of homelessness | Pinellas County will begin accepting applications on December 8, 2025, from agencies supporting individuals and families experiencing or at risk of homelessness for ESG-RUSH and ESG programs. | Administered by: Pinellas County Community Development Division [needs review: amount unspecified; expiry unknown]",See program page,Unknown,2026-05-11,Yes,https://pinellas.gov/community-development-notices/,llm
2025 Local Contribution Match Application,FL,Hillsborough County,Finance Solutions,All,Local Contribution Match Application — availability of local government support funding for eligible affordable housing development projects to meet FHFC competitive application requirements.,Eligible projects: affordable housing development | Availability announced for local government support funding for eligible affordable housing development projects to meet FHFC Competitive Application Process RFA #2025-202 Housing Credit Financing. | Administered by: Pinellas County Community Development Division [needs review: expiry unknown],Local government support funding for eligible affordable housing development projects to meet criteria of the Florida Housing Finance Corporation (FHFC) Competitive Application Process RFA #2025-202 Housing Credit Financing.,Unknown,2026-05-11,Yes,https://pinellas.gov/community-development-notices/,llm
FY 2025-2026 State Housing Initiatives Partnership Program (SHIP) Funding,FL,Statewide,Grants,All,State SHIP funding allocation expected for FY 2025-2026; Pinellas County expects to receive specified funds and will accept applications for funded activities during the stated application window.,"Applications for FY 25-26 funded activities will be accepted between July 1, 2025, and June 30, 2028, or until all available funds are spent. | Administered by: Pinellas County Community Development Division","$3,841,730","June 30, 2028",2026-05-11,No,https://pinellas.gov/community-development-notices/,llm
FY 2024-2025 State Housing Initiatives Partnership Program (SHIP) Funding,FL,Statewide,Grants,All,State SHIP funding allocation expected for FY 2024-2025; Pinellas County expects to receive specified funds and will accept applications for funded activities during the stated application window.,"Applications for FY 2024-2025 funded activities will be accepted between September 28, 2024, and June 30, 2027, or until funds are spent. | Administered by: Pinellas County Community Development Division","$3,835,842","June 30, 2027",2026-05-11,No,https://pinellas.gov/community-development-notices/,llm
23-24 State Housing Initiatives Partnership (SHIP) Program,FL,Statewide,Grants,All,23-24 SHIP Program allocation expected; applications accepted for specified strategies and activities within stated window.,"Eligible projects: Homeownership, Rental, housing production, preservation | Applications accepted under Homeownership and Rental Strategies between August 7, 2023 and June 30, 2026, or until funds are spent. | Administered by: Pinellas County Community Development Division","$5,790,106","June 30, 2026",2026-05-11,No,https://pinellas.gov/community-development-notices/,llm
Pinellas County Housing Development Funding,FL,Hillsborough County,Grants,MIXED-INCOME RENTAL; OWNER HOUSING,Funding for mixed-income rental and owner housing development activities; application period ongoing until funds are depleted.,"Eligible projects: mixed-income rental, owner housing development | Application period ongoing until funds are depleted (no additional eligibility details provided). | Administered by: Pinellas County Community Development Division [needs review: incentive_type unresolved; expiry unknown]",The application period for mixed-income rental and owner housing development activities will continue on an ongoing basis until funds are depleted.,Unknown,2026-05-11,Yes,https://pinellas.gov/community-development-notices/,llm
Pinellas County Housing Trust Fund,FL,Hillsborough County,Grants,All,Pinellas County Community Housing Trust Fund — active and accepting applications on an ongoing basis until funds are depleted; RFQ process noted for administrators.,"Applications are accepted on an ongoing basis until funds are depleted. On an ongoing basis, applications are accepted from licensed professional service providers with the capability to administer housing programs available through Pinellas County; new organizations will need to submit the original RFQ document as instructed. | Administered by: Pinellas County Community Development Division [needs review: incentive_type unresolved; expiry unknown]",Pinellas County Community Housing Trust Fund application is open on an ongoing basis until funds are depleted.,Unknown,2026-05-11,Yes,https://pinellas.gov/community-development-notices/,llm
